,Station Id,Station Name,lat,lon,geometry
208,7227,Martin Goodman Trail (Marilyn Bell Park),43.6314,-79.4304,POINT (-79.43040000000001 43.6314)
209,7228,Queen St W / Roncesvalles Ave,43.638399,-79.4464436,POINT (-79.44644359999999 43.638399)
210,7229,Dundas St W / Roncesvalles Green P - SMART,43.6534268,-79.4512787,POINT (-79.4512787 43.6534268)
211,7230,Garden Ave / Roncesvalles Ave,43.643769,-79.447915,POINT (-79.44791499999999 43.643769)
212,7231,Wright / Sorauren (Sorauren Park) - SMART,43.646677,-79.442741,POINT (-79.442741 43.646677)
213,7232,Queen St W  /  Fuller Ave - SMART,43.640255,-79.439223,POINT (-79.439223 43.640255)
214,7233,King / Cowan Ave - SMART,43.637922,-79.431734,POINT (-79.43173400000001 43.637922)
215,7234,Roncesvalles Ave / Marmaduke St,43.650492,-79.450842,POINT (-79.45084199999999 43.650492)
216,7235,Bay St / College St (West Side) - SMART,43.660087,-79.385655,POINT (-79.385655 43.660087)
217,7236,Thompson St / Broadview Ave - SMART,43.659471,-79.350325,POINT (-79.350325 43.659471)
218,7237,Ward Ave / Wallace Ave - SMART,43.662251,-79.446036,POINT (-79.44603600000001 43.662251)
219,7238,Sorauren/Geoffrey (Sorauren Park) - SMART,43.649172,-79.4445087,POINT (-79.4445087 43.649172)
220,7239,Bloor St W / Manning Ave - SMART,43.663912,-79.416124,POINT (-79.416124 43.663912)
221,7240,Bloor St W / Shaw Ave - SMART,43.662403,-79.423098,POINT (-79.423098 43.662403)
222,7241,519 Church St - SMART,43.666805,-79.381288,POINT (-79.381288 43.666805)
223,7242,Lake Shore Blvd W / Ontario Dr,43.630254,-79.420317,POINT (-79.420317 43.630254)
224,7243,Exhibition GO Station,43.6356551,-79.4184785,POINT (-79.41847850000001 43.6356551)
225,7244,Dufferin Gate - SMART,43.633473,-79.425679,POINT (-79.425679 43.633473)
226,7245,Tecumseth St / Queen St W - SMART,43.646552,-79.406468,POINT (-79.406468 43.646552)
227,7246,Yonge St / Bloor St,43.669969,-79.386532,POINT (-79.386532 43.669969)
