EndDt_DtFin,MjrCmdtyEn_PrdtPrncplAn,MjCmdtyFr_PrdtPrncplFr,CtgryEn_CtgrieAn,CtgryFr_CtgrieFr,NumHd_NmbTetes
2001-05-26,Calves,Veaux,Male,Male,22195
2001-05-26,Cattle,Bovins,Bulls,Taureaux,2216
2001-05-26,Cattle,Bovins,Cows,Vaches,36299
2001-05-26,Cattle,Bovins,Heifers,Genisses,72453
2001-05-26,Cattle,Bovins,Steers,Bouvillons,166272
2001-05-26,Hogs,Porcs,Hogs,Porcs,1519533
2001-05-26,Sheep/Lamb,Moutons/agneaux,Sheep/Lamb,Moutons/agneaux,30382
2001-06-30,Calves,Veaux,Female,Femelle,3268
2001-06-30,Calves,Veaux,Male,Male,26586
2001-06-30,Cattle,Bovins,Bulls,Taureaux,2603
2001-06-30,Cattle,Bovins,Cows,Vaches,45217
2001-06-30,Cattle,Bovins,Heifers,Genisses,89914
2001-06-30,Cattle,Bovins,Steers,Bouvillons,219245
2001-06-30,Hogs,Porcs,Hogs,Porcs,1899581
2001-06-30,Sheep/Lamb,Moutons/agneaux,Sheep/Lamb,Moutons/agneaux,35619
2001-07-28,Calves,Veaux,Female,Femelle,2456
2001-07-28,Calves,Veaux,Male,Male,20693
2001-07-28,Cattle,Bovins,Bulls,Taureaux,2055
2001-07-28,Cattle,Bovins,Cows,Vaches,31721
2001-07-28,Cattle,Bovins,Heifers,Genisses,69079
2001-07-28,Cattle,Bovins,Steers,Bouvillons,159732
2001-07-28,Hogs,Porcs,Hogs,Porcs,1519333
2001-07-28,Sheep/Lamb,Moutons/agneaux,Sheep/Lamb,Moutons/agneaux,34899
2001-08-25,Calves,Veaux,Female,Femelle,2401
2001-08-25,Calves,Veaux,Male,Male,21358
2001-08-25,Cattle,Bovins,Bulls,Taureaux,1826
2001-08-25,Cattle,Bovins,Cows,Vaches,34283
2001-08-25,Cattle,Bovins,Heifers,Genisses,75500
2001-08-25,Cattle,Bovins,Steers,Bouvillons,160808
2001-08-25,Hogs,Porcs,Hogs,Porcs,1554830
2001-08-25,Sheep/Lamb,Moutons/agneaux,Sheep/Lamb,Moutons/agneaux,35365
2001-09-29,Calves,Veaux,Female,Femelle,3329
2001-09-29,Calves,Veaux,Male,Male,26020
2001-09-29,Cattle,Bovins,Bulls,Taureaux,1874
2001-09-29,Cattle,Bovins,Cows,Vaches,45255
2001-09-29,Cattle,Bovins,Heifers,Genisses,111005
2001-09-29,Cattle,Bovins,Steers,Bouvillons,179277
2001-09-29,Hogs,Porcs,Hogs,Porcs,2016331
2001-09-29,Sheep/Lamb,Moutons/agneaux,Sheep/Lamb,Moutons/agneaux,34064
2001-10-27,Calves,Veaux,Female,Femelle,2366
2001-10-27,Calves,Veaux,Male,Male,23007
2001-10-27,Cattle,Bovins,Bulls,Taureaux,1842
2001-10-27,Cattle,Bovins,Cows,Vaches,42829
2001-10-27,Cattle,Bovins,Heifers,Genisses,111233
2001-10-27,Cattle,Bovins,Steers,Bouvillons,118473
2001-10-27,Hogs,Porcs,Hogs,Porcs,1692037
2001-10-27,Sheep/Lamb,Moutons/agneaux,Sheep/Lamb,Moutons/agneaux,34757
2001-11-24,Calves,Veaux,Female,Femelle,2516
2001-11-24,Calves,Veaux,Male,Male,23560
2001-11-24,Cattle,Bovins,Bulls,Taureaux,2333
2001-11-24,Cattle,Bovins,Cows,Vaches,48605
2001-11-24,Cattle,Bovins,Heifers,Genisses,116869
2001-11-24,Cattle,Bovins,Steers,Bouvillons,103446
2001-11-24,Hogs,Porcs,Hogs,Porcs,1727090
2001-11-24,Sheep/Lamb,Moutons/agneaux,Sheep/Lamb,Moutons/agneaux,35105
2001-12-29,Calves,Veaux,Female,Femelle,3191
2001-12-29,Calves,Veaux,Male,Male,27877
2001-12-29,Cattle,Bovins,Bulls,Taureaux,1772
2001-12-29,Cattle,Bovins,Cows,Vaches,52259
2001-12-29,Cattle,Bovins,Heifers,Genisses,111920
2001-12-29,Cattle,Bovins,Steers,Bouvillons,125863
2001-12-29,Hogs,Porcs,Hogs,Porcs,1972521
2001-12-29,Sheep/Lamb,Moutons/agneaux,Sheep/Lamb,Moutons/agneaux,45874
2002-01-26,Calves,Veaux,Female,Femelle,2744
2002-01-26,Calves,Veaux,Male,Male,22986
2002-01-26,Cattle,Bovins,Bulls,Taureaux,1206
2002-01-26,Cattle,Bovins,Cows,Vaches,44165
2002-01-26,Cattle,Bovins,Heifers,Genisses,89244
2002-01-26,Cattle,Bovins,Steers,Bouvillons,105504
2002-01-26,Hogs,Porcs,Hogs,Porcs,1684438
2002-01-26,Sheep/Lamb,Moutons/agneaux,Sheep/Lamb,Moutons/agneaux,27294
2002-02-23,Calves,Veaux,Female,Femelle,2076
2002-02-23,Calves,Veaux,Male,Male,21717
2002-02-23,Cattle,Bovins,Bulls,Taureaux,1379
2002-02-23,Cattle,Bovins,Cows,Vaches,43968
2002-02-23,Cattle,Bovins,Heifers,Genisses,105690
2002-02-23,Cattle,Bovins,Steers,Bouvillons,103034
2002-02-23,Hogs,Porcs,Hogs,Porcs,1693533
2002-02-23,Sheep/Lamb,Moutons/agneaux,Sheep/Lamb,Moutons/agneaux,32759
2002-03-30,Calves,Veaux,Female,Femelle,2179
2002-03-30,Calves,Veaux,Male,Male,24402
2002-03-30,Cattle,Bovins,Bulls,Taureaux,1623
2002-03-30,Cattle,Bovins,Cows,Vaches,50959
2002-03-30,Cattle,Bovins,Heifers,Genisses,134389
2002-03-30,Cattle,Bovins,Steers,Bouvillons,117998
2002-03-30,Hogs,Porcs,Hogs,Porcs,2005462
2002-03-30,Sheep/Lamb,Moutons/agneaux,Sheep/Lamb,Moutons/agneaux,47750
2002-04-27,Calves,Veaux,Female,Femelle,1774
2002-04-27,Calves,Veaux,Male,Male,19389
2002-04-27,Cattle,Bovins,Bulls,Taureaux,1729
2002-04-27,Cattle,Bovins,Cows,Vaches,45458
2002-04-27,Cattle,Bovins,Heifers,Genisses,78610
2002-04-27,Cattle,Bovins,Steers,Bouvillons,138264
2002-04-27,Hogs,Porcs,Hogs,Porcs,1656831
2002-04-27,Sheep/Lamb,Moutons/agneaux,Sheep/Lamb,Moutons/agneaux,35087
2002-05-25,Calves,Veaux,Female,Femelle,1816
2002-05-25,Calves,Veaux,Male,Male,20912
2002-05-25,Cattle,Bovins,Bulls,Taureaux,2091
2002-05-25,Cattle,Bovins,Cows,Vaches,40665
2002-05-25,Cattle,Bovins,Heifers,Genisses,77885
2002-05-25,Cattle,Bovins,Steers,Bouvillons,168164
2002-05-25,Hogs,Porcs,Hogs,Porcs,1586288
2002-05-25,Sheep/Lamb,Moutons/agneaux,Sheep/Lamb,Moutons/agneaux,37641
2002-06-29,Calves,Veaux,Female,Femelle,2137
2002-06-29,Calves,Veaux,Male,Male,23830
