Date,Sessions
7/5/2015,28980
7/4/2015,28677
7/3/2015,31575
7/2/2015,41436
7/1/2015,45885
6/30/2015,44262
6/29/2015,47177
6/28/2015,28833
6/27/2015,26533
6/26/2015,36146
6/25/2015,45586
6/24/2015,56525
6/23/2015,43007
6/22/2015,43322
6/21/2015,23946
6/20/2015,23844
6/19/2015,34644
6/18/2015,40155
6/17/2015,43216
6/16/2015,46187
6/15/2015,42091
6/14/2015,26870
6/13/2015,27040
6/12/2015,37584
6/11/2015,45699
6/10/2015,46436
6/9/2015,48957
6/8/2015,49485
6/7/2015,33426
6/6/2015,29841
